task_id	query_id	incident_id	annotator_A_answerability	annotator_B_answerability	adjudicated_answerability	adjudication_rationale	reviewer_id	reviewed_at	review_state	annotation_version
ANN-01cd4e812c7e	inc_618f73faa4a01c2c	inc_618f73faa4a01c2c							needs_human_review	human-v1-pending
ANN-070894f8feb8	inc_1ceb6e079b0f93ee	inc_1ceb6e079b0f93ee							needs_human_review	human-v1-pending
ANN-08f4864ff318	inc_7b4b399e7c81a552	inc_7b4b399e7c81a552							needs_human_review	human-v1-pending
ANN-0a539f8105f4	inc_b6893051f6d2b73e	inc_b6893051f6d2b73e							needs_human_review	human-v1-pending
ANN-0a9a2ff45054	inc_9cb53216929f92e8	inc_9cb53216929f92e8							needs_human_review	human-v1-pending
ANN-0b39e1bf2615	inc_666f8c5628760ebf	inc_666f8c5628760ebf							needs_human_review	human-v1-pending
ANN-0ba9c1c5a3fa	inc_8540cb108d4f274a	inc_8540cb108d4f274a							needs_human_review	human-v1-pending
ANN-0e6f8c9f3d9a	inc_7a5cc77f7867a66f	inc_7a5cc77f7867a66f							needs_human_review	human-v1-pending
ANN-10334227c2f5	inc_90e5302a86a23a8e	inc_90e5302a86a23a8e							needs_human_review	human-v1-pending
ANN-13e0aabca347	inc_d5425e4d7b13f348	inc_d5425e4d7b13f348							needs_human_review	human-v1-pending
ANN-192023e73445	inc_c9f0d2d384af68cf	inc_c9f0d2d384af68cf							needs_human_review	human-v1-pending
ANN-198c8e34ffcb	inc_41b29f4527655ffa	inc_41b29f4527655ffa							needs_human_review	human-v1-pending
ANN-199a386875f8	inc_57f6ede7e94d009b	inc_57f6ede7e94d009b							needs_human_review	human-v1-pending
ANN-1bdb6f43faca	inc_485a27d825269561	inc_485a27d825269561							needs_human_review	human-v1-pending
ANN-1c208b011e8a	inc_2adbb3fd7fbcb7b3	inc_2adbb3fd7fbcb7b3							needs_human_review	human-v1-pending
ANN-1cb78bd9c9e3	inc_85da4b2224175866	inc_85da4b2224175866							needs_human_review	human-v1-pending
ANN-1dc6d20dd366	inc_28c54291b6ec0364	inc_28c54291b6ec0364							needs_human_review	human-v1-pending
ANN-20f9ebe72ec8	inc_a90410596ea7234e	inc_a90410596ea7234e							needs_human_review	human-v1-pending
