claim_id	section	claim_text	claim_type	artifact_ref	run_id	metric	denominator	reviewer	status	limitations
CLM-DATA-001	SEC-04	Bộ dữ liệu gồm 90 sự cố phân tán trên 30 service-fault families, mỗi family đúng 3 lần lặp (repetitions).	data	06_implementation/reports/data-handoff.md	null	incident_count	90 incidents	A	verified	Chỉ bao gồm môi trường mô phỏng microservice RE2-Online Boutique.
CLM-DATA-002	SEC-04	Phân chia dữ liệu theo cụm family: 54 train (18 families), 18 dev (6 families), 18 test (6 families) để chống rò rỉ phân phối lỗi.	data	06_implementation/reports/data-handoff.md	null	split_count	30 families	A	verified	Không dùng random split cấp incident vì repetition sẽ gây rò rỉ.
CLM-DATA-003	SEC-04	Kho tri thức lịch sử tiền 2024 (pre-2024) gồm 74 tài liệu và 580 chunks được chuẩn hóa với codepoint offset.	data	06_implementation/reports/corpus-handoff.md	null	chunk_count	580 chunks	A	verified	Corpus giới hạn ở tài liệu công khai Kubernetes, Prometheus và runbook mẫu.
CLM-ANNO-001	SEC-04	Tập core annotation gồm 56 incidents (20 train, 18 dev, 18 test) được chấm đôi độc lập bởi 2 người và adjudicate bởi người thứ 3.	data	06_implementation/freezes/F2.provenance.json	null	annotation_count	56 incidents	A	retracted	Current qrels are llm_lexical_proxy; human core qrels pending.
CLM-METH-001	SEC-05	Mọi tham số tiền xử lý, tokenize, BM25 (k1=1.5, b=0.75), Dense encoder và RRF (constant=60) được khóa tại mốc F1 trước khi truy cập test.	method	06_implementation/freezes/F1.json	F1	config_lock	1 config	B	retracted	Retracted: historical F1/F2 bind an unreleased corpus and lexical proxy qrels; no accepted retrieval evaluation.
CLM-METH-002	SEC-05	Quy trình generation áp dụng 4 điều kiện đối chứng bắt buộc: G0 (No-RAG), GB (BM25), GD (Dense), GH (Hybrid RRF) với cùng observation context.	method	06_implementation/freezes/F1.json	F1	condition_set	4 conditions	B	verified	Điều kiện tùy chọn GR (rerank) chưa kích hoạt do giới hạn nguồn lực.
CLM-RES-001	SEC-07	Hiệu năng truy hồi IR-H (passage nDCG@5 = 0.671) vượt trội so với baseline đơn mạnh nhất BM25 (0.628) trên test với paired delta +0.043 [95% CI: +0.008, +0.078].	result	06_implementation/reports/final-tables/table1-retrieval-performance.tsv	test_scoring	passage_ndcg_5	18 test incidents	B	retracted	Retracted: historical F1/F2 bind an unreleased corpus and lexical proxy qrels; no accepted retrieval evaluation.
CLM-RES-002	SEC-07	Độ chính xác định vị service (top-1) đạt 72.2% ở GH so với 38.9% ở G0 (No-RAG), 61.1% ở GB và 55.6% ở GD.	result	06_implementation/reports/final-tables/table2-generation-performance.tsv	test_scoring	service_accuracy	18 test incidents	B	retracted	Retracted: table2 is NOT_RUN; generator permission pending; numbers are not scorer output.
CLM-RES-003	SEC-07	Tỉ lệ trích dẫn hợp lệ đạt 97.2% và tỉ lệ mệnh đề chẩn đoán được hỗ trợ bởi bằng chứng đạt 85.2% ở điều kiện GH (so với 41.2% ở G0).	result	06_implementation/reports/final-tables/table2-generation-performance.tsv	test_scoring	citation_validity	72 responses	C	retracted	Retracted: table2 is NOT_RUN; citation/support percentages are not live results.
CLM-RES-004	SEC-07	Hệ thống thực hiện từ chối trả lời an toàn (abstention 22.2% ở G0, 5.6% ở GH) khi telemetry hoặc tài liệu không chứa đủ dữ kiện.	result	06_implementation/reports/demo/case-audit.tsv	test_scoring	abstention_rate	18 test incidents	C	retracted	Retracted: generator permission pending; mock success is not a result.
CLM-LIM-001	SEC-09	Tập kiểm thử chỉ có 6 service-fault families độc lập, do đó độ bất định được đo bằng leave-one-family-out thay vì coi 18 ca là mẫu i.i.d.	limitation	06_implementation/reports/final-tables/table3-six-family-diagnostics.tsv	test_scoring	family_clusters	6 families	C	retracted	Retracted: historical F1/F2 bind an unreleased corpus and lexical proxy qrels; no accepted retrieval evaluation.
CLM-LIM-002	SEC-09	API mô hình sinh không có cam kết bất biến phiên bản theo thời gian; kết quả tái lập đảm bảo qua replay cache đã khóa mã băm.	limitation	06_implementation/reports/final-tables/table4-resource-accounting.tsv	pilot	reproducibility_scope	cache_replay	C	verified	Fresh generation có thể sinh token khác nhau nếu API thay đổi weights ngầm.
