paper_id	catalog_title	preprint_title	publication_title	arxiv_id	arxiv_version	publication_doi	relation_status
P0001	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	2310.01796	3	10.1145/3643733	verified_primary_version_map
P0002	Exploring LLM-based Agents for Root Cause Analysis	Exploring LLM-based Agents for Root Cause Analysis		2403.04123	1		no_publication_relation_verified
P0003	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	2402.17531	2	10.3233/faia241032	verified_primary_version_map
P0004	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4		2401.13810	1		no_publication_relation_verified
P0005	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	2305.15778	4	10.1145/3627703.3629553	verified_primary_version_map
P0006	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models		2310.07637	5		no_publication_relation_verified
P0007	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	2312.11988	1	10.1145/3597503.3639081	verified_primary_version_map
P0008	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study		2307.05950	2		no_publication_relation_verified
P0009	Assess and Summarize: Improve Outage Understanding with Large Language Models	Assess and Summarize: Improve Outage Understanding with Large Language Models	Assess and Summarize: Improve Outage Understanding with Large Language Models	2305.18084	1	10.1145/3611643.3613891	verified_primary_version_map
P0010	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering		2305.11541	3		no_publication_relation_verified
P0011	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	2301.03797	2	10.1109/icse48619.2023.00149	verified_primary_version_map
P0012	A System-Wide Debugging Assistant Powered by Natural Language Processing	A System-Wide Debugging Assistant Powered by Natural Language Processing				10.1145/3357223.3362701	no_publication_relation_verified
P0013	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps	Mining root cause knowledge from cloud service incident investigations for AIOps	2204.11598	1	10.1145/3510457.3513030	verified_primary_version_map
P0014	Neural knowledge extraction from cloud service incidents	Neural Knowledge Extraction From Cloud Service Incidents				10.1109/icse-seip52600.2021.00031	no_publication_relation_verified
P0015	SoftNER: Mining Knowledge Graphs From Cloud Incidents	SoftNER: Mining Knowledge Graphs From Cloud Incidents		2101.05961	2		no_publication_relation_verified
P0016	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications				10.3390/app10062166	no_publication_relation_verified
P0017	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	Sage: practical and scalable ML-driven performance debugging in microservices				10.1145/3445814.3446700	no_publication_relation_verified
P0018	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	Graph-based trace analysis for microservice architecture understanding and problem diagnosis				10.1145/3368089.3417066	no_publication_relation_verified
P0019	FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices	{FIRM}: An Intelligent Fine-grained Resource Management Framework for {SLO-Oriented} Microservices					no_publication_relation_verified
P0020	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs	Latent error prediction and fault localization for microservice applications by learning from system trace logs				10.1145/3338906.3338961	no_publication_relation_verified
P0021	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study				10.1109/tse.2018.2887384	no_publication_relation_verified
P0022	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems		2109.04893	1		no_publication_relation_verified
P0023	X-Trace: A Pervasive Network Tracing Framework	{X-Trace}: A Pervasive Network Tracing Framework 					no_publication_relation_verified
P0024	Discovering Dependencies for Network Management	Discovering Dependencies for Network Management					no_publication_relation_verified
P0025	The Tale of Errors in Microservices	The Tale of Errors in Microservices				10.1145/3700436	no_publication_relation_verified
P0026	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems				10.1109/issre55969.2022.00014	no_publication_relation_verified
P0027	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching		2201.02944	4		no_publication_relation_verified
P0028	Time-Series Anomaly Detection Service at Microsoft	Time-Series Anomaly Detection Service at Microsoft				10.1145/3292500.3330680	no_publication_relation_verified
P0029	Identifying Impactful Service System Problems via Log Analysis	Identifying impactful service system problems via log analysis				10.1145/3236024.3236083	no_publication_relation_verified
P0030	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning				10.1145/3133956.3134015	no_publication_relation_verified
P0031	Murphy: Performance Diagnosis of Distributed Cloud Applications	Murphy: Performance Diagnosis of Distributed Cloud Applications				10.1145/3603269.3604877	no_publication_relation_verified
P0032	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data				10.1145/3611643.3616249	no_publication_relation_verified
P0033	Capturing and Enhancing In Situ System Observability for Failure Detection	Capturing and Enhancing In Situ System Observability for Failure Detection					no_publication_relation_verified
P0034	AutoARTS: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure	{AutoARTS}: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure					no_publication_relation_verified
P0035	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	2302.09520	1	10.1109/icse48619.2023.00193	verified_primary_version_map
P0036	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service	How to fight production incidents?: an empirical study on a large-scale cloud service				10.1145/3542929.3563482	no_publication_relation_verified
P0037	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems		2204.09670	1		no_publication_relation_verified
P0038	Fighting the Fog of War: Automated Incident Detection for Cloud Systems	Fighting the Fog of War: Automated Incident Detection for Cloud Systems					no_publication_relation_verified
P0039	Graph-based Incident Aggregation for Large-Scale Online Service Systems	Graph-based Incident Aggregation for Large-Scale Online Service Systems		2108.12179	1		no_publication_relation_verified
P0040	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings		2108.00344	2		no_publication_relation_verified
P0041	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing				10.1145/3387514.3405867	no_publication_relation_verified
P0042	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems	How incidental are the incidents?: characterizing and prioritizing incidents for large-scale online service systems				10.1145/3324884.3416624	no_publication_relation_verified
P0043	Identifying linked incidents in large-scale online service systems	Identifying linked incidents in large-scale online service systems				10.1145/3368089.3409768	no_publication_relation_verified
P0044	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search				10.1145/3368089.3409741	no_publication_relation_verified
P0045	Real-time incident prediction for online service systems	Real-time incident prediction for online service systems				10.1145/3368089.3409672	no_publication_relation_verified
P0046	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems				10.1145/3368089.3417054	no_publication_relation_verified
P0047	Understanding and Handling Alert Storm for Online Service Systems	Understanding and handling alert storm for online service systems				10.1145/3377813.3381363	no_publication_relation_verified
P0048	What bugs cause production cloud incidents?	What bugs cause production cloud incidents?				10.1145/3317550.3321438	no_publication_relation_verified
