dataset_id	parent_id	family	name	resource_type	official_url	data_entry_url	paper_url	modalities	labels	dataset_license	code_license	license_status	license_evidence_urls	access_status	access_evidence_url	checked_date	verification_scope	file_assets_downloaded	priority	proposed_cs221_use	notes	lineage_notes	next_collection_action	maintainer_namespace	license_gate	independent_dataset_claim
D001		RCAEval	RCAEval	dataset_collection	https://github.com/phamquiluan/RCAEval	https://huggingface.co/datasets/phamquiluan/RCAEval	https://arxiv.org/abs/2412.17015	metrics; logs/traces vary by suite/system	root_cause_service; root_cause_indicator; fault_type; injection_time	MIT	MIT for authors’ code; other baselines have separate licenses	explicit_data_and_code	"[""https://github.com/phamquiluan/RCAEval#licensing"", ""https://zenodo.org/records/14590730""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/phamquiluan/RCAEval	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P0	Benchmark RCA chính; ưu tiên RE2-OB rồi RE2-TT.	735 ca thuộc 9 tập con; RE1 chỉ metric. RE2/RE3 Sock Shop không có trace theo bảng tác giả. HF/Zenodo/Parquet và TORAI có quan hệ phiên bản, không cộng ca độc lập.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	phamquiluan	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D002		OpenRCA	OpenRCA	dataset_collection	https://github.com/microsoft/OpenRCA	https://drive.google.com/drive/folders/1wGiEnu4OkWrjPxfx5ZTROnU37-5UDoPM?usp=drive_link	https://openreview.net/forum?id=M4qNIzQYpd	natural_language_queries; logs; metrics; traces	query-specific root component/reason/time	not_established_in_checked_sources	MIT repository	repo_only_external_data_unclear	"[""https://github.com/microsoft/OpenRCA""]"	public_repository; external_download_not_tested	https://github.com/microsoft/OpenRCA	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Chẩn đoán từ câu hỏi tự nhiên và telemetry.	Telecom, Bank, Market; query.csv/record.csv. Giấy phép MIT của repo chưa đủ xác nhận phạm vi bộ telemetry trên Drive.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	microsoft	HOLD_FOR_CLARIFICATION	False
D003		OpenRCA	OpenRCA 2.0	benchmark_release_unconfirmed	https://arxiv.org/abs/2606.27154	https://arxiv.org/abs/2606.27154	https://arxiv.org/abs/2606.27154	multi-source telemetry; causal-process annotations (paper description)	causal process; root cause (paper-described)	not_established_in_checked_sources	not_established_in_checked_sources	release_and_license_unconfirmed	"[""https://arxiv.org/abs/2606.27154""]"	paper_readable; data_release_not_confirmed	https://arxiv.org/abs/2606.27154	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Thiết kế rubric đường lan truyền nguyên nhân; không làm phụ thuộc MVP.	Bài mô tả 500 instance trên Train Ticket, OTel Demo và DeathStarBench Hotel. Chưa xác nhận tệp phát hành hay quyền tải bộ dữ liệu.	Cùng dòng OpenRCA; benchmark mới mô tả trong bài, overlap chưa xác minh.	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	arxiv.org	HOLD_FOR_CLARIFICATION	False
D004		LEMMA-RCA	LEMMA-RCA	dataset_collection	https://lemma-rca.github.io/	https://huggingface.co/datasets/Lemma-RCA-NEC/Product_Review_Original	https://arxiv.org/abs/2406.05375	multi-modal observations; metrics/logs depending on domain	fault/root cause annotations; inspect per domain	CONFLICT: CC-BY-ND-4.0 versus CC-BY-NC-4.0	not_established_in_checked_sources	conflict	"[""https://lemma-rca.github.io/"", ""https://github.com/KnowledgeDiscovery/rca_baselines"", ""https://huggingface.co/datasets/Lemma-RCA-NEC/Product_Review_Original""]"	public_dataset_cards; license_conflict_blocks_release_decision	https://lemma-rca.github.io/	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Ưu tiên hai miền IT nếu được tác giả làm rõ license.	Website ghi ND; repo và HF có nơi ghi NC, có nơi ghi ND ngay trong cùng card. Không tự chọn giấy phép thuận lợi hơn.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	lemma-rca.github.io	HOLD_FOR_CLARIFICATION	False
D005		Loghub	Loghub	dataset_collection	https://github.com/logpai/loghub	https://zenodo.org/records/8196385	https://arxiv.org/abs/2008.06448	system_logs	anomaly labels on selected subsets; not RCA/qrels	Custom research/academic-use terms	not a code-license grant for all logs	custom_research_terms	"[""https://github.com/logpai/loghub""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/logpai/loghub	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Log parsing, biểu diễn log và truy hồi sự cố tương tự.	19 phiên bản/tập con trong bộ sưu tập; không phải 19 họ dữ liệu độc lập. Có dữ liệu chưa được khử định danh. Không suy nhãn bất thường thành nguyên nhân gốc.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	logpai	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D006		Loghub	Loghub-2.0	dataset_collection	https://github.com/logpai/loghub-2.0	https://github.com/logpai/loghub-2.0	https://arxiv.org/abs/2308.10828	logs; template_annotations	log_parsing_ground_truth	Custom research/academic-use terms; attribution/notice requirements	not_established_in_checked_sources	custom_research_terms	"[""https://github.com/logpai/loghub-2.0/blob/main/LICENSE""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/logpai/loghub-2.0	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Đánh giá parsing/chuẩn hóa trước retrieval.	Dựa trên Loghub, không là một nguồn telemetry hoàn toàn độc lập. Annotation parsing không phải gold RCA.	Dẫn xuất/annotation từ Loghub D005; không dùng như cross-source độc lập nếu ca trùng.	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	logpai	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D007		GAIA — Generic AIOps Atlas	GAIA — Generic AIOps Atlas	dataset_collection	https://github.com/CloudWise-OpenSource/GAIA-DataSet	https://github.com/CloudWise-OpenSource/GAIA-DataSet		logs; metrics; traces; semantic log resources	task-specific anomaly/localization/semantic annotations	CONFLICT: README Apache-2.0 versus LICENSE GPL-2.0	CONFLICT at repository level	conflict	"[""https://github.com/CloudWise-OpenSource/GAIA-DataSet"", ""https://github.com/CloudWise-OpenSource/GAIA-DataSet/blob/main/LICENSE""]"	public_repository; license_conflict_blocks_release_decision	https://github.com/CloudWise-OpenSource/GAIA-DataSet	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Nguồn AIOps đa tác vụ, cần rà schema và quyền trước khi chọn.	Không nhầm GAIA này với benchmark General AI Assistants. README và LICENSE khác nhau; chưa xác định ranh giới quyền dữ liệu/mã.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	CloudWise-OpenSource	HOLD_FOR_CLARIFICATION	False
D008		Multi-source Distributed System Observability	Multi-source Distributed System Observability	dataset	https://zenodo.org/records/3549604	https://zenodo.org/records/3549604		logs; metrics; traces	inspect release; do not assume query/evidence labels	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://zenodo.org/records/3549604""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://zenodo.org/records/3549604	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Đối chứng telemetry nhiều nguồn.	Trang lưu trữ đọc được; trường license trong bản trang truy xuất không cung cấp giá trị đủ rõ. Không tự suy CC-BY.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	zenodo.org	HOLD_FOR_CLARIFICATION	False
D009		Nezha research artifacts	Nezha research artifacts	dataset_artifact	https://github.com/IntelligentDDS/Nezha	https://github.com/IntelligentDDS/Nezha		logs; metrics; traces	root-cause label files in artifact	not_established_in_checked_sources	MIT repository	repo_only_external_data_unclear	"[""https://github.com/IntelligentDDS/Nezha""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/IntelligentDDS/Nezha	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	So sánh biểu diễn đa nguồn với baseline NLP.	Repo có construct_data/rca_data và nhãn hệ thống; cần xác định dữ liệu nào được MIT bao phủ trước khi tái phân phối.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	IntelligentDDS	HOLD_FOR_CLARIFICATION	False
D010		Eadro research artifacts	Eadro research artifacts	dataset_artifact	https://github.com/BEbillionaireUSD/Eadro	https://zenodo.org/records/7615393	https://arxiv.org/abs/2302.05092	multi-source telemetry	troubleshooting labels; inspect release	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://github.com/BEbillionaireUSD/Eadro""]"	public_repository; external_download_not_tested	https://github.com/BEbillionaireUSD/Eadro	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Nguồn bổ sung cho chẩn đoán microservices.	README dẫn Zenodo; truy xuất trang Zenodo riêng chưa thành công, không kết luận link chết.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	BEbillionaireUSD	HOLD_FOR_CLARIFICATION	False
