document_id	source_id	source_path	decision	reason	review_state	reviewer	reviewed_at	owner	check_owner	check_reviewer	check_reviewed_at	decision_version	decision_origin	allowed_experiment_mode	app_version	platform_version	deployment_compatibility	config_preconditions	evidence_role	conditional_use	evidence_ids	source_evidence_span	source_revision	source_url	raw_sha256	text_hash	available_at	availability_basis	retrieved_at	published_at	updated_at	deployment_evidence_ids	is_qrel
KBH-D057-0ad6299a6f1d	D057	kubernetes-manifests/redis.yaml	unknown	Upstream redis configuration defines Deployment/Service objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-0ad6299a6f1d"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/redis.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/redis.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-0ad6299a6f1d"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":576,""end_offset"":1176,""text_sha256"":""91e9f1a17ba9e8c545fa1b237d6180a5315bfd3f5899a3d48155554586590c7f"",""document_text_sha256"":""d4d5c22c12a7d8d6bb8362e23d0b82873528eea47c1fcc3960d868c46a8e1349""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/redis.yaml	d4d5c22c12a7d8d6bb8362e23d0b82873528eea47c1fcc3960d868c46a8e1349	d4d5c22c12a7d8d6bb8362e23d0b82873528eea47c1fcc3960d868c46a8e1349	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:02.175009Z			[]	False
KBH-D057-0df08c03749a	D057	kubernetes-manifests/README.md	unknown	Explicit warning that source manifests require Skaffold image substitution; deployed implementation/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Use as a qualification on source YAML; these files do not establish the deployed images or directly deployable release.	application_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-0df08c03749a"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/README.md"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/README.md.receipt.json""]"	"{""document_id"":""KBH-D057-0df08c03749a"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":0,""end_offset"":317,""text_sha256"":""2ed98a865924152336d2292e9c438c32195c393de262e51ebf99d26765242cd5"",""document_text_sha256"":""2ed98a865924152336d2292e9c438c32195c393de262e51ebf99d26765242cd5""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/README.md	2ed98a865924152336d2292e9c438c32195c393de262e51ebf99d26765242cd5	2ed98a865924152336d2292e9c438c32195c393de262e51ebf99d26765242cd5	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:57:59.908028Z			[]	False
KBH-D057-10119f6772e5	D057	kustomize/components/google-cloud-operations/README.md	unknown	Optional Google Cloud Operations instrumentation, explicitly disabled by default; deployed implementation/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require evidence that the component, tracing/metrics environment options and collector are enabled; do not assume telemetry exists.	application_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-10119f6772e5"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kustomize/components/google-cloud-operations/README.md"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kustomize/components/google-cloud-operations/README.md.receipt.json""]"	"{""document_id"":""KBH-D057-10119f6772e5"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":0,""end_offset"":600,""text_sha256"":""c119c4a58d9251f1805156bb35a4fc020674acd7a9f5740cac285c15de04c15d"",""document_text_sha256"":""192e69975d8a1694bc055d9de4f87233f1857cb3571cd0384176b11ecddc3416""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kustomize/components/google-cloud-operations/README.md	192e69975d8a1694bc055d9de4f87233f1857cb3571cd0384176b11ecddc3416	192e69975d8a1694bc055d9de4f87233f1857cb3571cd0384176b11ecddc3416	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:00.554761Z			[]	False
KBH-D057-1abc0a247aed	D057	kubernetes-manifests/cartservice.yaml	unknown	Upstream cartservice configuration defines Deployment/Service objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-1abc0a247aed"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/cartservice.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/cartservice.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-1abc0a247aed"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":576,""end_offset"":1176,""text_sha256"":""ce8ac89ac9365069b75ff44c31eec8aac03c2e57bcb478f61544fcce8e0940f5"",""document_text_sha256"":""8198d8f4ccab29076f027f6ee21cc1dc438c07c22a32e7df6260008825582147""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/cartservice.yaml	8198d8f4ccab29076f027f6ee21cc1dc438c07c22a32e7df6260008825582147	8198d8f4ccab29076f027f6ee21cc1dc438c07c22a32e7df6260008825582147	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:01.074167Z			[]	False
KBH-D057-3265685291bc	D057	src/adservice/README.md	unknown	Ad service context-key behavior and local Gradle/Docker build instructions; deployed implementation/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Verify matching adservice implementation; local build commands are development context, not incident evidence.	application_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-3265685291bc"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/src/adservice/README.md"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/src/adservice/README.md.receipt.json""]"	"{""document_id"":""KBH-D057-3265685291bc"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":0,""end_offset"":600,""text_sha256"":""3d5cb47efdeba45eaf7be0df48290b62372234d210d1f7c0aa0e56a68ff73694"",""document_text_sha256"":""363d8d5e709a15b0813fa88d6b375435d86646f82f78e0c942b7883523ef91d0""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/src/adservice/README.md	363d8d5e709a15b0813fa88d6b375435d86646f82f78e0c942b7883523ef91d0	363d8d5e709a15b0813fa88d6b375435d86646f82f78e0c942b7883523ef91d0	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:57:59.843680Z			[]	False
KBH-D057-4849feed2498	D057	kubernetes-manifests/productcatalogservice.yaml	unknown	Upstream productcatalogservice configuration defines Deployment/Service objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-4849feed2498"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/productcatalogservice.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/productcatalogservice.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-4849feed2498"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":576,""end_offset"":1176,""text_sha256"":""e12a813d0d2ddbc24ce7f3245a83ef324e7ec10cbc508453697a113f49fc99e4"",""document_text_sha256"":""a992d1f3606e252a422834040eaba329552d3dc1f25f532cd83181617fdcf5bc""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/productcatalogservice.yaml	a992d1f3606e252a422834040eaba329552d3dc1f25f532cd83181617fdcf5bc	a992d1f3606e252a422834040eaba329552d3dc1f25f532cd83181617fdcf5bc	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:02.364973Z			[]	False
KBH-D057-4fe9c69346cd	D057	src/frontend/README.md	excluded	Only a local dependency vendoring command; no service behavior or diagnostic content.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	excluded	unknown	unknown	unknown	Retain in source registry; excluded from candidate retrieval pending A/B review.	non_operational_or_incomplete_source	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-4fe9c69346cd"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/src/frontend/README.md"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/src/frontend/README.md.receipt.json""]"	"{""document_id"":""KBH-D057-4fe9c69346cd"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":0,""end_offset"":116,""text_sha256"":""7eaaadf5badc6d88fc1c39e4eec70ccdc62d2a132bb9f43008526cd4dd45412e"",""document_text_sha256"":""7eaaadf5badc6d88fc1c39e4eec70ccdc62d2a132bb9f43008526cd4dd45412e""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/src/frontend/README.md	7eaaadf5badc6d88fc1c39e4eec70ccdc62d2a132bb9f43008526cd4dd45412e	7eaaadf5badc6d88fc1c39e4eec70ccdc62d2a132bb9f43008526cd4dd45412e	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:00.019017Z			[]	False
KBH-D057-562ed69e4788	D057	kubernetes-manifests/frontend.yaml	unknown	Upstream frontend configuration defines Deployment/Service objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-562ed69e4788"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/frontend.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/frontend.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-562ed69e4788"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":576,""end_offset"":1176,""text_sha256"":""e9a1f7cef8c82bef5453d13f4136057088ed489f079f2ba8389268de1ca43446"",""document_text_sha256"":""0604873bb6f8eac9f678fec315e8bf562ff09151a3d3f304f8411fa509632ff5""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/frontend.yaml	0604873bb6f8eac9f678fec315e8bf562ff09151a3d3f304f8411fa509632ff5	0604873bb6f8eac9f678fec315e8bf562ff09151a3d3f304f8411fa509632ff5	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:01.638802Z			[]	False
KBH-D057-86278876e6bf	D057	kubernetes-manifests/loadgenerator.yaml	unknown	Upstream loadgenerator configuration defines Deployment objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-86278876e6bf"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/loadgenerator.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/loadgenerator.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-86278876e6bf"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":575,""end_offset"":1175,""text_sha256"":""9084022c6ee70fe4d2cfacb962b062a6354b864cf41728915b4624001e4baa6d"",""document_text_sha256"":""1aef175d1cee25cbd4d947d6d5a9f4362e9efede59040731272065ab89521e82""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/loadgenerator.yaml	1aef175d1cee25cbd4d947d6d5a9f4362e9efede59040731272065ab89521e82	1aef175d1cee25cbd4d947d6d5a9f4362e9efede59040731272065ab89521e82	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:01.729066Z			[]	False
KBH-D057-9151fc03d266	D057	kubernetes-manifests/emailservice.yaml	unknown	Upstream emailservice configuration defines Deployment/Service objects; deployed release/configuration match is unverified.	pending			A	B			applicability-proposal-v1	codex_proposal_not_human_review	candidate_conditional	unknown	unknown	unknown	Require deployed workload/configuration evidence before using ports, dependencies, image names or resource values as facts; source manifests require Skaffold image substitution.	upstream_configuration_reference	No use until required review/release gates. For a locally authorized candidate, use only as a conditional diagnostic/reference hypothesis; never claim compatibility, causal relevance or an observed incident fact.	"[""KBH-D057-9151fc03d266"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/emailservice.yaml"",""03_collection_plan/knowledge-corpus-historical/raw/source-snapshots/D057/files/kubernetes-manifests/emailservice.yaml.receipt.json""]"	"{""document_id"":""KBH-D057-9151fc03d266"",""offset_unit"":""unicode_codepoint_in_source_document_text"",""start_offset"":576,""end_offset"":1176,""text_sha256"":""b20401c92da29242180343f12dd4d054d4f6a565c8d7ce5a54eed62f16c36902"",""document_text_sha256"":""b3e8869a9fbb027aa7e090cf8a1ccfddf91db32850f39e8f43fd63d593b91596""}"	80bea9bfd97bec107361d4663e207aa8d3f312c6	https://github.com/GoogleCloudPlatform/microservices-demo/blob/80bea9bfd97bec107361d4663e207aa8d3f312c6/kubernetes-manifests/emailservice.yaml	b3e8869a9fbb027aa7e090cf8a1ccfddf91db32850f39e8f43fd63d593b91596	b3e8869a9fbb027aa7e090cf8a1ccfddf91db32850f39e8f43fd63d593b91596	2023-12-28T18:03:44Z	conservative_repository_snapshot_commit_time_not_document_publication	2026-09-12T16:58:01.637800Z			[]	False
