id	depth	sections	task	observation	method	evaluation	limitation	application
P0052	fulltext_selected_sections	Abstract; §2.3 AIOps Tasks; §7 Challenges	Taxonomy failure management	Log, metric, trace và văn bản vận hành; survey không cung cấp gold incident mới.	Phân tách preprocessing, failure perception, RCA và remediation; RCA còn chia localization, category và report generation.	Khảo sát/taxonomy; không phải bảng thắng thua chung giữa mô hình.	Chi phí suy luận, dữ liệu đa nguồn, software evolution và hallucination là các vấn đề được thảo luận.	Định nghĩa đầu ra service và grounded diagnosis riêng; không dùng parsing/anomaly score thay RCA.
P0757	fulltext_selected_sections	Abstract; §3 Datasets; §3.4 Data Format; §4.2 Metrics; §5 Preliminary Experiments	RCA service/indicator benchmark	RE1 chỉ metrics. RE2/RE3 là suite đa nguồn nhưng modality tùy system; Sock Shop không có traces. Paper whole-benchmark mô tả service/indicator labels.	Ba suite fault injection; framework các baseline metric, trace và multi-source; dữ liệu CSV.	735 ca trong paper: RE1 375, RE2 270, RE3 90. AC@k và Avg@k; thí nghiệm sơ bộ tập trung RE2 Train Ticket.	Release RE2-Online Boutique được chọn có root-service label trong index, chưa thấy gold indicator riêng. Không có qrels runbook; 735 ca không đồng nghĩa 735 ca có log hoặc đủ mọi modality.	Chọn RE2 để giữ NLP/log contribution; thêm qrels độc lập và không index root-indicator annotation.
P0075	abstract_and_primary_pdf_first_page	PDF trang 1 qua primary search; OpenReview profile publication metadata	RCA từ telemetry và mô tả failure	Paper mô tả 335 failures, ba hệ thống enterprise, telemetry gồm log/metric/trace.	Benchmark và RCA-agent để đánh giá hiểu dependency và suy luận trên context telemetry dài.	Abstract báo khó khăn lớn với failure cases; chưa extraction protocol/full bảng bằng local PDF.	Endpoint PDF local và OpenReview API không đọc được trong đợt này; metadata venue ICLR 2025 và authors xác nhận qua nguồn primary. Không coi summary trang đầu là đọc toàn văn.	Dùng làm related benchmark; chỉ lập thí nghiệm khi release, license và schema dataset đã được audit.
P0758	fulltext_selected_sections	Abstract; §3.1 Setup; §3.2 Evaluation Metrics; §5 Assumptions and Threats	Outcome RCA và causal-process evaluation	500 instances từ TrainTicket, OTel Demo và Hotel Reservation; PAVE cần injection, topology, telemetry và baseline trước lỗi.	Forward verification từ intervention tới symptom; curation từ pool fault injection rồi audit thủ công.	EM/service-fault-set F1 khác AnySvc; process dùng Path Reachability, Node/Edge F1, SQL execution.	Phụ thuộc coverage của dependency graph, rule vocabulary và telemetry. Kết quả testbed không tự chuyển sang production; 500 là paper count, chưa chứng minh release tải đủ.	Không gọi câu giải thích có citation là causal path đúng; thiếu process gold thì chỉ báo groundedness và service score.
P0005	fulltext_selected_sections	Abstract; §4.2.1–4.2.2; §5.1; §6 Discussion	Root-cause category và explanatory narrative	Runtime diagnostics do incident handlers thu thập; lịch sử incident của Microsoft Transport.	RCACopilot chọn handler theo alert; FastText embedding, neighbor similarity có time-decay, tóm tắt diagnostics và LLM prediction.	653 incident trong một năm; split 75/25 được nêu, chưa xác định là chronological. Gold category do OCE gán.	Phụ thuộc monitor/handler tồn tại và chất lượng category; đánh giá prediction trên một service. Không suy hiệu quả từ production handler deployment.	Ablation representation và thời gian retrieval đáng thử; giữ observations ngang nhau giữa no-RAG và RAG.
P0011	fulltext_selected_sections	Abstract; §III-A; §III-D; §VI-A; §VI-D	Sinh root cause và mitigation	Incident summary tại lúc tạo ticket; label nguyên nhân và mitigation do vận hành ghi.	So zero-shot, fine-tuned và multitask GPT-3.x với encoder-decoder baselines.	Lexical/semantic metrics cộng human review. Summary creation-time giúp hạn chế answer leakage; loại bảng/ảnh có thể mất evidence.	Paper ghi correlation automatic metric–human không nhất quán và human study nhỏ; transfer ngoài tổ chức chưa rõ.	Tách correctness, readability và citation support; giữ thời điểm tạo observations, không dùng summary sau resolution.
P0003	fulltext_selected_sections	Abstract; §2.1; §3 User Experiments	Copilot hướng dẫn mitigation	Troubleshooting guides và lịch sử mitigation; chuỗi bước có điều kiện.	Nissist chuẩn hóa TSG thành node JSON type/intent/action/linker; index intent và lấy cả node, nối outcome tới intent bước sau.	Human study 20 OCE và 5 incidents; chấm success, intervention, turns và TTM.	Mẫu user study nhỏ; hiệu quả mitigation không tương đương service-localization accuracy. Chia chunk tùy tiện có thể phá flow.	Runbook schema cần applicability, điều kiện, outcome và liên kết; chỉ đề xuất next-check ở MVP.
P0007	fulltext_selected_sections	Abstract; §5.1; §6.1.1; §11	Gợi ý KQL investigation queries	Incident context và KQL lịch sử từ 10 dịch vụ Microsoft.	Similar-incident retrieval, LLM query generation và post-processing; Xcore dựa AST, syntax/semantic, sub-components và output schema.	197666 train/validation/retrieval instances, 3000 test; test incidents xảy ra sau train, index offline giữ cố định.	§11 nói dữ liệu production không public. Query chạy được không chứng minh nguyên nhân đúng.	Nếu thêm query rewriting, bảo vệ entities/time window và kiểm tính thực thi riêng với downstream answer.
P0009	fulltext_selected_sections	Abstract; §5.1–5.3; §8 Discussion	Outage impact assessment và summarization	Nhóm incident liên quan outage; summary của OCE làm reference.	Oasis gom incident theo impact rồi sinh summary; baseline rule concatenation, IR và GPT-2.	18 cloud systems trong ba năm; split chronological 7:1:2; baselines nhận cùng incident context.	Outage summary gold không phải causal-path gold; case study minh họa không chứng minh generalization.	Kiểm incident grouping trước split và chấm summary giữ service/error/time; áp dụng same-context control.
P0013	fulltext_selected_sections	Abstract; §3.4; §4.3	Khai thác tri thức và retrieval-based RCA	PRB investigation documents của Salesforce; symptom, cause và resolution được trích xuất.	ICA xây causal knowledge graph; neural retrieval dùng average RoBERTa token vectors, FAISS và max-pool sentence score thành document score.	Leave-one-PRB-out: query symptom, tìm trong phần còn lại; paper nói không có gold search-result set và dùng overlap/precision proxies.	Similarity với investigation không tương đương qrels causal evidence; extraction labels có thể mang lỗi của extractor.	Tách train investigations khỏi test gold; tạo human qrels thay vì tái dùng overlap làm retrieval truth.
