paper_id	source_row	original_title	observed_primary_title	evidence_url	status	note
P0006	R0006	OpsEval: A Comprehensive Task-Oriented AIOps Benchmark for Large Language Models	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models	https://arxiv.org/abs/2310.07637	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0054	R0054	AIOpsLab: A Holistic Framework for Evaluating AI Agents for Enabling Autonomous Cloud	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	https://arxiv.org/abs/2501.06706	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0069	R0069	LM-PACE: Confidence Estimation by Large Language Models for Effective Root Causing of Cloud Incidents	PACE-LM: Prompting and Augmentation for Calibrated Confidence Estimation with GPT-4 in Cloud Incident Root Cause Analysis	https://arxiv.org/abs/2309.05833	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0108	R0108	DivLog: Log Parsing with Prompt Enhanced In-Context Learning	Prompting for Automatic Log Template Extraction	https://arxiv.org/abs/2307.09950	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0113	R0113	Log Parsing with Self-Generated In-Context Learning and Self-Correction	Log Parsing using LLMs with Self-Generated In-Context Learning and Self-Correction	https://arxiv.org/abs/2406.03376	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0115	R0115	No More Labelled Examples? An Unsupervised Log Parser with LLMs	LUNAR: Unsupervised LLM-based Log Parsing	https://arxiv.org/abs/2406.07174	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0121	R0121	Anomaly Detection on Unstable Logs with GPT Models	LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs	https://arxiv.org/abs/2406.07467	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0166	R0166	Troubleshooting Transiently-Recurring Problems in Production Systems with Blame-Proportional Logging	Troubleshooting Transiently-Recurring Errors in Production Systems with Blame-Proportional Logging	https://www.usenix.org/conference/atc18/presentation/luo	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0197	R0197	Poly-encoders: Architectures and pre-training strategies for fast and accurate multi-sentence scoring	Poly-encoders: Transformer Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring	https://arxiv.org/abs/1905.01969	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0217	R0217	Aggretriever: A Simple Approach to Aggregate Textual Representation for Robust Dense Passage Retrieval	Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval	https://arxiv.org/abs/2208.00511	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0302	R0302	ConTextual Mask Auto-Encoder for Dense Passage Retrieval	ConTextual Masked Auto-Encoder for Dense Passage Retrieval	https://arxiv.org/abs/2208.07670	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0316	R0316	Results of the NeurIPS 2021 Challenge on Billion-Scale Approximate Nearest Neighbor Search	Results of the NeurIPS'21 Challenge on Billion-Scale Approximate Nearest Neighbor Search	https://arxiv.org/abs/2205.03763	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
