paper_id	title	primary_url	read_depth	reader	task_match	method_decision	limitations	verified_at	read_sections	source_kind	source_local_path	source_sha256	catalog_status	human_reader_assigned	human_reviewer_assigned	human_read_status	human_review_status
P0052	A Survey of AIOps for Failure Management in the Era of Large Language Models	https://arxiv.org/abs/2406.11213v4	selected_sections	Codex	Phân biệt detection, localization, diagnosis report và remediation trong AIOps.	Giữ service localization, grounded diagnosis và next-checks là các đầu ra riêng; không dùng anomaly score thay RCA correctness.	Survey cung cấp taxonomy, không cung cấp gold incident hay bằng chứng hiệu quả trên bộ 90 ca của dự án.	2026-09-13T02:05:48Z	Abstract; portions of section 2.3 on failure perception, RCA and remediation; local lines 175-199,527-613	local_primary_text	01_papers/enriched/primary-text/P0052-fulltext.txt	d13d3623f95cdbae7a5de2a7cd8d5409ab636482ba20574288aac10c7825a5cf	matched_existing_catalog	C	A	pending	pending
P0757	RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data	https://arxiv.org/abs/2412.17015v5	selected_sections	Codex	Benchmark RCA bằng metrics, logs và traces; phân biệt nhãn service với indicator.	Giữ RE2-Online Boutique đã chọn; lấy schema telemetry làm căn cứ kiểm dữ liệu; passage qrels phải xây riêng và gold RCA giữ ngoài inference.	Con số 735 thuộc toàn benchmark; không được thay cho 90 ca của release dự án. AC@k/Avg@k khác passage nDCG@5; thí nghiệm paper không là kết quả dự án.	2026-09-13T02:05:48Z	Abstract; section 3.1-3.4; section 4.2 and opening section 5; local lines 106-133,188-327,621-639	local_primary_text	01_papers/enriched/primary-text/P0757-fulltext.txt	89841d1439e470044b0c975944afe9113e94ba01db9f6d9e64dfb4adb4c6d693	matched_existing_catalog	A	B	pending	pending
P0003	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	https://arxiv.org/abs/2402.17531v2	selected_sections	Codex	Troubleshooting guides làm evidence cho điều tra và next-checks.	Giữ applicability, intent, action, outcome và liên kết bước trong runbook; không để chunking làm mất thứ tự hoặc điều kiện áp dụng.	TSG và lịch sử mitigation ở Microsoft khác corpus công khai; user study 20 OCE và 5 incidents không chứng minh hiệu quả trên bộ dự án.	2026-09-13T02:05:48Z	Section 2.1-2.2 and opening section 3; local lines 144-182	local_primary_text	01_papers/enriched/primary-text/P0003-fulltext.txt	efb88bb59d0a55d1b3619733fa2aa2fc69008a0dd591d48e7ae56fab897e16f3	matched_existing_catalog	A	C	pending	pending
LIT-BM25-2009	The Probabilistic Relevance Framework: BM25 and Beyond	https://www.staff.city.ac.uk/~sbrp622/papers/foundations_bm25_review.pdf	selected_sections	Codex	Cơ sở baseline lexical BM25.	Ghi rõ implementation, tokenizer, IDF, k1 và b; chọn tham số bằng train/dev và khóa trước test.	BM25 có nhiều biến thể; tham số phụ thuộc collection. Bài lý thuyết không cung cấp cấu hình tối ưu cho logs/runbooks của dự án.	2026-09-13T02:05:48Z	PDF abstract; section 3.4.4-3.5.1 (printed pp.357-361); opening section 5 (pp.377-378)	web_primary_pdf	null	null	supplemental_not_in_original_catalog	B	A	pending	pending
P0245	Dense Passage Retrieval for Open-Domain Question Answering	https://arxiv.org/abs/2004.04906v3	selected_sections	Codex	Bi-encoder cho baseline dense passage retrieval.	Dùng dense như đối chứng riêng trên cùng corpus, query và qrels với BM25; ghi model revision, pooling, normalization và similarity thực dùng.	DPR học từ QA positives/negatives; domain shift sang telemetry cần kiểm. Không sao chép quy tắc coi mọi passage chưa gán positive là irrelevant sang human qrels của dự án.	2026-09-13T02:05:48Z	Abstract; section 3.1 and opening section 3.2 through negative sampling; local lines 135-140,216-270	local_primary_text	01_papers/enriched/primary-text/P0245-fulltext.txt	2b4363be129dc024706273933f4a7ae0b2fad821d9ca185aac7b6afc130ce8b9	matched_existing_catalog	B	A	pending	pending
LIT-RRF-2009	Reciprocal Rank Fusion outperforms Condorcet and individual Rank Learning Methods	https://plg.uwaterloo.ca/~gvcormac/cormacksigir09-rrf.pdf	selected_sections	Codex	Fusion thứ hạng cho hybrid BM25+dense.	Dùng tổng 1/(rrf_constant+rank) cho mỗi danh sách có chứa passage; giữ rrf_constant tách candidate_depth/context_k; 60 là giá trị pilot tham chiếu, khóa cấu hình trước test.	Kết quả trên TREC/LETOR không bảo đảm hybrid thắng ở AIOps. Candidate truncation và tie-break của dự án phải được ghi riêng.	2026-09-13T02:05:48Z	PDF abstract; section 1 formula and pilot/validation description; section 2 discussion; PDF pp.1-2	web_primary_pdf	null	null	supplemental_not_in_original_catalog	B	C	pending	pending
P0376	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	https://arxiv.org/abs/2005.11401	selected_sections	Codex	Tách retriever và generator trong RAG.	G0/GB/GD/GH nhận cùng incident observations và cùng generator policy; trace passages riêng để đánh giá retrieval và generation riêng.	RAG gốc marginalize tài liệu trong mô hình được fine-tune; prepend context vào frozen model là thiết kế khác. Retrieval không tự bảo đảm claim đúng.	2026-09-13T02:05:48Z	Opening abstract; section 2.1-2.4 plus opening decoding; local lines 147-154,187-246	local_primary_text	01_papers/enriched/primary-text/P0376-fulltext.txt	de85ce1d092084c66fc8646b82638e1893abb3dae8ba0e0b0b5dece4574ca6b7	matched_existing_catalog	C	B	pending	pending
P0325	Passage Re-ranking with BERT	https://arxiv.org/abs/1901.04085v5	selected_sections	Codex	Cross-encoder reranking cho GR optional.	Chỉ mở GR nếu quyết định trước F1 và đủ nguồn lực; cố định candidate pool, chấm query-passage pairs và ghi chi phí bổ sung.	Reranker chỉ đổi thứ tự candidates đã lấy; không cứu passage vắng khỏi pool. Kết quả MS MARCO/TREC-CAR không suy ra AIOps benefit.	2026-09-13T02:05:48Z	Abstract; section 2 Task and Method; local lines 77-105	local_primary_text	01_papers/enriched/primary-text/P0325-fulltext.txt	fa4cf1a2e56a5c1cd1fbee8ed6a7632940b65e841b69cdabaf3a4c44a512ccf4	matched_existing_catalog	B	C	pending	pending
P0761	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	https://arxiv.org/abs/2311.09476v2	selected_sections	Codex	Đánh giá context relevance, answer faithfulness và answer relevance riêng.	Giữ human judgments độc lập; judge chỉ hỗ trợ và cần calibration nếu dùng. Không gọi rubric tự động của dự án là ARES/PPI khi chưa triển khai phương pháp đó.	ARES cần human validation và nguồn lực mô hình; faithfulness không đồng nhất root-cause correctness. Paper không miễn yêu cầu chấm người.	2026-09-13T02:05:48Z	Abstract; section 3.3; section 7 Limitations; local lines 113-119,232-260,586-603	local_primary_text	01_papers/enriched/primary-text/P0761-fulltext.txt	23606c59d0bfa06358e922cf39132303caedcd100f4708e83f73e155ad8e5220	matched_existing_catalog	C	A	pending	pending
P0826	Enabling Large Language Models to Generate Text with Citations	https://aclanthology.org/2023.emnlp-main.398/	selected_sections	Codex	Grounded evaluation ở cấp statement/claim và citation.	Rubric tách source existence, support, applicability và coverage; root-cause correctness chấm riêng. Giữ unsupported claims trong failure accounting.	ALCE dùng NLI làm proxy entailment và có human evaluation; citation tồn tại không chứng minh hỗ trợ claim hay áp dụng đúng incident.	2026-09-13T02:05:48Z	Abstract; PDF section 3.3 Citation Quality and Figure 3; local lines 1-39,362-468	local_primary_text	01_papers/enriched/primary-text/P0826-fulltext.txt	66cb27bacf11cf0ba648f4bbbb254fdcd072fecb5848c0707fdcdaa2a9794df1	matched_existing_catalog	C	B	pending	pending
