metric	condition	incident_id	split	run_id	qrels_version	eligible	value	undefined_reason	qrels_provenance
passage_ndcg_5	IR-B	inc_7a5cc77f7867a66f	test	run_IR-B	06.F2-v1	false	0.4747	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_7a5cc77f7867a66f	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_7a5cc77f7867a66f	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_7a5cc77f7867a66f	test	run_IR-D	06.F2-v1	false	0.4928	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_7a5cc77f7867a66f	test	run_IR-D	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_7a5cc77f7867a66f	test	run_IR-D	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_7a5cc77f7867a66f	test	run_IR-H	06.F2-v1	false	0.5162	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_7a5cc77f7867a66f	test	run_IR-H	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_7a5cc77f7867a66f	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_7a5cc77f7867a66f	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_7a5cc77f7867a66f	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_7a5cc77f7867a66f	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_7a5cc77f7867a66f	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_7a5cc77f7867a66f	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_7a5cc77f7867a66f	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_7a5cc77f7867a66f	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GB	inc_7a5cc77f7867a66f	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GD	inc_7a5cc77f7867a66f	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GD	inc_7a5cc77f7867a66f	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GD	inc_7a5cc77f7867a66f	test	run_GD	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GD	inc_7a5cc77f7867a66f	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GH	inc_7a5cc77f7867a66f	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GH	inc_7a5cc77f7867a66f	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GH	inc_7a5cc77f7867a66f	test	run_GH	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GH	inc_7a5cc77f7867a66f	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-B	inc_41d11c8c51f185b7	test	run_IR-B	06.F2-v1	false	0.6575	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_41d11c8c51f185b7	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_41d11c8c51f185b7	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_41d11c8c51f185b7	test	run_IR-D	06.F2-v1	false	0.4754	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_41d11c8c51f185b7	test	run_IR-D	06.F2-v1	false	0.3333	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_41d11c8c51f185b7	test	run_IR-D	06.F2-v1	false	0.8000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_41d11c8c51f185b7	test	run_IR-H	06.F2-v1	false	0.6729	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_41d11c8c51f185b7	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_41d11c8c51f185b7	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_41d11c8c51f185b7	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_41d11c8c51f185b7	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_41d11c8c51f185b7	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_41d11c8c51f185b7	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_41d11c8c51f185b7	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_41d11c8c51f185b7	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_41d11c8c51f185b7	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GB	inc_41d11c8c51f185b7	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GD	inc_41d11c8c51f185b7	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GD	inc_41d11c8c51f185b7	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GD	inc_41d11c8c51f185b7	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GD	inc_41d11c8c51f185b7	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GH	inc_41d11c8c51f185b7	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GH	inc_41d11c8c51f185b7	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GH	inc_41d11c8c51f185b7	test	run_GH	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GH	inc_41d11c8c51f185b7	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-B	inc_a90410596ea7234e	test	run_IR-B	06.F2-v1	false	0.1792	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_a90410596ea7234e	test	run_IR-B	06.F2-v1	false	0.3333	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_a90410596ea7234e	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_a90410596ea7234e	test	run_IR-D	06.F2-v1	false	0.0870	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_a90410596ea7234e	test	run_IR-D	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_a90410596ea7234e	test	run_IR-D	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_a90410596ea7234e	test	run_IR-H	06.F2-v1	false	0.0870	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_a90410596ea7234e	test	run_IR-H	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_a90410596ea7234e	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_a90410596ea7234e	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_a90410596ea7234e	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_a90410596ea7234e	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_a90410596ea7234e	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_a90410596ea7234e	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_a90410596ea7234e	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_a90410596ea7234e	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GB	inc_a90410596ea7234e	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GD	inc_a90410596ea7234e	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GD	inc_a90410596ea7234e	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GD	inc_a90410596ea7234e	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GD	inc_a90410596ea7234e	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GH	inc_a90410596ea7234e	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GH	inc_a90410596ea7234e	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GH	inc_a90410596ea7234e	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GH	inc_a90410596ea7234e	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-B	inc_d1821966fc7791fc	test	run_IR-B	06.F2-v1	false	0.2617	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_d1821966fc7791fc	test	run_IR-B	06.F2-v1	false	0.3333	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_d1821966fc7791fc	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_d1821966fc7791fc	test	run_IR-D	06.F2-v1	false	0.1792	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_d1821966fc7791fc	test	run_IR-D	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_d1821966fc7791fc	test	run_IR-D	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_d1821966fc7791fc	test	run_IR-H	06.F2-v1	false	0.1792	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_d1821966fc7791fc	test	run_IR-H	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_d1821966fc7791fc	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_d1821966fc7791fc	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_d1821966fc7791fc	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_d1821966fc7791fc	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_d1821966fc7791fc	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_d1821966fc7791fc	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_d1821966fc7791fc	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_d1821966fc7791fc	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GB	inc_d1821966fc7791fc	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GD	inc_d1821966fc7791fc	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GD	inc_d1821966fc7791fc	test	run_GD	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GD	inc_d1821966fc7791fc	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GD	inc_d1821966fc7791fc	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GH	inc_d1821966fc7791fc	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GH	inc_d1821966fc7791fc	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GH	inc_d1821966fc7791fc	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GH	inc_d1821966fc7791fc	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-B	inc_5b4214f9c0e50d81	test	run_IR-B	06.F2-v1	false	0.0693	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_5b4214f9c0e50d81	test	run_IR-B	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_5b4214f9c0e50d81	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_5b4214f9c0e50d81	test	run_IR-D	06.F2-v1	false	0.0623	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_5b4214f9c0e50d81	test	run_IR-D	06.F2-v1	false	0.2000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_5b4214f9c0e50d81	test	run_IR-D	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_5b4214f9c0e50d81	test	run_IR-H	06.F2-v1	false	0.1869	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_5b4214f9c0e50d81	test	run_IR-H	06.F2-v1	false	0.2000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_5b4214f9c0e50d81	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_5b4214f9c0e50d81	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_5b4214f9c0e50d81	test	run_G0	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_5b4214f9c0e50d81	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_5b4214f9c0e50d81	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_5b4214f9c0e50d81	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_5b4214f9c0e50d81	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_5b4214f9c0e50d81	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GB	inc_5b4214f9c0e50d81	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GD	inc_5b4214f9c0e50d81	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GD	inc_5b4214f9c0e50d81	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GD	inc_5b4214f9c0e50d81	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GD	inc_5b4214f9c0e50d81	test	run_GD	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GH	inc_5b4214f9c0e50d81	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GH	inc_5b4214f9c0e50d81	test	run_GH	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GH	inc_5b4214f9c0e50d81	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	GH	inc_5b4214f9c0e50d81	test	run_GH	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-B	inc_c3bf40c257e90fe0	test	run_IR-B	06.F2-v1	false	0.3949	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-B	inc_c3bf40c257e90fe0	test	run_IR-B	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-B	inc_c3bf40c257e90fe0	test	run_IR-B	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-D	inc_c3bf40c257e90fe0	test	run_IR-D	06.F2-v1	false	0.1316	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-D	inc_c3bf40c257e90fe0	test	run_IR-D	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-D	inc_c3bf40c257e90fe0	test	run_IR-D	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
passage_ndcg_5	IR-H	inc_c3bf40c257e90fe0	test	run_IR-H	06.F2-v1	false	0.2562	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
mrr_10	IR-H	inc_c3bf40c257e90fe0	test	run_IR-H	06.F2-v1	false	0.2500	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
recall_20	IR-H	inc_c3bf40c257e90fe0	test	run_IR-H	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	G0	inc_c3bf40c257e90fe0	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	G0	inc_c3bf40c257e90fe0	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	G0	inc_c3bf40c257e90fe0	test	run_G0	06.F2-v1	false	0.5000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
abstention_rate	G0	inc_c3bf40c257e90fe0	test	run_G0	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top1_service_acc	GB	inc_c3bf40c257e90fe0	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
top3_service_acc	GB	inc_c3bf40c257e90fe0	test	run_GB	06.F2-v1	false	1.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
claim_support_precision	GB	inc_c3bf40c257e90fe0	test	run_GB	06.F2-v1	false	0.0000	historical_synthetic_output_not_evaluation_evidence	llm_lexical_proxy
