source_row	final_paper_id	original_title	input_url	observed_title
R0001	P0001	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	https://arxiv.org/abs/2310.01796	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache
R0002	P0002	Exploring LLM-based Agents for Root Cause Analysis	https://arxiv.org/abs/2403.04123	Exploring LLM-based Agents for Root Cause Analysis
R0003	P0003	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	https://arxiv.org/abs/2402.17531	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides
R0004	P0004	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4	https://arxiv.org/abs/2401.13810	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4
R0005	P0005	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	https://arxiv.org/abs/2305.15778	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents
R0006	P0006	OpsEval: A Comprehensive Task-Oriented AIOps Benchmark for Large Language Models	https://arxiv.org/abs/2310.07637	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models
R0007	P0007	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	https://arxiv.org/abs/2312.11988	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models
R0008	P0008	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study	https://arxiv.org/abs/2307.05950	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study
R0009	P0009	Assess and Summarize: Improve Outage Understanding with Large Language Models	https://arxiv.org/abs/2305.18084	Assess and Summarize: Improve Outage Understanding with Large Language Models
R0010	P0010	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering	https://arxiv.org/abs/2305.11541	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering
R0011	P0011	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	https://arxiv.org/abs/2301.03797	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models
