core_id	band	role	title	publication_type	peer_review_status	q1_sjr_2024	rank_evidence_id	relation	source_url	notes
P0052	A	survey_and_task_taxonomy	A Survey of AIOps for Failure Management in the Era of Large Language Models	preprint	preprint	no		successor_to_G0005	https://arxiv.org/abs/2406.11213	metadata-backed core selection; not a full-text review claim
P0773	A	survey_and_task_taxonomy	Failure Diagnosis in Microservice Systems: A Comprehensive Survey and Analysis	preprint	preprint	no			https://arxiv.org/abs/2407.01710	metadata-backed core selection; not a full-text review claim
P0762	A	survey_and_task_taxonomy	Evaluation of Retrieval-Augmented Generation: A Survey	book-chapter	peer_reviewed	no			https://doi.org/10.1007/978-981-96-1024-2_8	metadata-backed core selection; not a full-text review claim
G0004	A	survey_and_task_taxonomy	Surveying Root Cause Analysis Techniques: A Comprehensive Review of Aspects for Multi-Service Applications	journal-article	peer_reviewed	yes	SJR2024-TSC		https://doi.org/10.1109/TSC.2025.3631913	metadata-backed core selection; not a full-text review claim
G0005	A	survey_and_task_taxonomy	A Survey of AIOps in the Era of Large Language Models	journal-article	peer_reviewed	yes	SJR2024-CSUR	successor_of_P0052	https://doi.org/10.1145/3746635	metadata-backed core selection; not a full-text review claim
P0005	B	llm_incident_and_aiops_method	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3627703.3629553	metadata-backed core selection; not a full-text review claim
P0011	B	llm_incident_and_aiops_method	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	proceedings-article	peer_reviewed	no			https://doi.org/10.1109/icse48619.2023.00149	metadata-backed core selection; not a full-text review claim
P0003	B	llm_incident_and_aiops_method	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	book-chapter	peer_reviewed	no			https://doi.org/10.3233/faia241032	metadata-backed core selection; not a full-text review claim
P0007	B	llm_incident_and_aiops_method	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3597503.3639081	metadata-backed core selection; not a full-text review claim
P0009	B	llm_incident_and_aiops_method	Assess and Summarize: Improve Outage Understanding with Large Language Models	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3611643.3613891	metadata-backed core selection; not a full-text review claim
