dataset_id	name	priority	resource_type	parent_id	family	official_url	original_license_status	original_license_gate	original_access_status	current_collection_decision	local_card_exists	parent_id_resolves	live_verification_scope	asset_download_scope	review_evidence_path	next_action
D001	RCAEval	P0	dataset_collection		RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	parent_registry_selected_via_D068	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D002	OpenRCA	P1	dataset_collection		OpenRCA	https://github.com/microsoft/OpenRCA	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	primary repository documentation; per-file access state recorded; no raw data downloaded	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Repository MIT does not establish scope of Drive raw data; hold until explicit raw data terms are established.
D003	OpenRCA 2.0	P2	benchmark_release_unconfirmed		OpenRCA	https://arxiv.org/abs/2606.27154	release_and_license_unconfirmed	HOLD_FOR_CLARIFICATION	paper_readable; data_release_not_confirmed	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D004	LEMMA-RCA	P1	dataset_collection		LEMMA-RCA	https://lemma-rca.github.io/	conflict	HOLD_FOR_CLARIFICATION	public_dataset_cards; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	website only; conflict across release rights retained, not resolved	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D005	Loghub	P1	dataset_collection		Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	primary repository documentation; per-file access state recorded; no raw data downloaded	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Research-use terms inspected; reserve for parsing ablation; no RCA/qrels inferred.
D006	Loghub-2.0	P1	dataset_collection		Loghub	https://github.com/logpai/loghub-2.0	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	primary repository documentation; per-file access state recorded; no raw data downloaded	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Research-use terms inspected; reserve for parsing ablation; no RCA/qrels inferred.
D007	GAIA — Generic AIOps Atlas	P1	dataset_collection		GAIA — Generic AIOps Atlas	https://github.com/CloudWise-OpenSource/GAIA-DataSet	conflict	HOLD_FOR_CLARIFICATION	public_repository; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D008	Multi-source Distributed System Observability	P2	dataset		Multi-source Distributed System Observability	https://zenodo.org/records/3549604	not_established	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D009	Nezha research artifacts	P1	dataset_artifact		Nezha research artifacts	https://github.com/IntelligentDDS/Nezha	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D010	Eadro research artifacts	P1	dataset_artifact		Eadro research artifacts	https://github.com/BEbillionaireUSD/Eadro	not_established	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D011	DejaVu datasets A/B/C/D	P1	dataset_collection		DejaVu datasets A/B/C/D	https://github.com/NetManAIOps/DejaVu	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D012	TraceRCA artifacts	P2	dataset_artifact		TraceRCA artifacts	https://github.com/NetManAIOps/TraceRCA	not_established	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D013	MicroRank	P2	method_only		MicroRank	https://github.com/IntelligentDDS/MicroRank	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_method_repository; no_dataset_release_confirmed	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D014	CIRCA	P2	generation_platform		CIRCA	https://github.com/NetManAIOps/CIRCA	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_code_and_simulation_resources	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
