paper_id	title	topic_code	scope	verification_status	canonical_url	arxiv_id	doi	acl_id	arxiv_id_year	authors	venue	publication_year	metadata_source_url	discovery_sources	source_rows	link_check_date	link_check_note
P0012	A System-Wide Debugging Assistant Powered by Natural Language Processing	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3357223.3362701		10.1145/3357223.3362701						https://doi.org/10.1145/3357223.3362701	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0012""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0014	Neural knowledge extraction from cloud service incidents	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ICSE-SEIP52600.2021.00031		10.1109/icse-seip52600.2021.00031						https://doi.org/10.1109/ICSE-SEIP52600.2021.00031	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0014""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0016	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://www.mdpi.com/2076-3417/10/6/2166								https://www.mdpi.com/2076-3417/10/6/2166	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0016""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0017	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3445814.3446700		10.1145/3445814.3446700						https://doi.org/10.1145/3445814.3446700	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0017""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0018	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3417066		10.1145/3368089.3417066						https://doi.org/10.1145/3368089.3417066	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0018""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0020	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3338906.3338961		10.1145/3338906.3338961						https://doi.org/10.1145/3338906.3338961	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0020""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0021	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/8580420/								https://ieeexplore.ieee.org/document/8580420/	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0021""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0024	Discovering Dependencies for Network Management	AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf								https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0024""]"	2026-09-12	PDF fetched but header/title not yet inspected
P0025	The Tale of Errors in Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3700436		10.1145/3700436						https://doi.org/10.1145/3700436	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0025""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0026	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9978953								https://ieeexplore.ieee.org/document/9978953	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0026""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0028	Time-Series Anomaly Detection Service at Microsoft	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3292500.3330680		10.1145/3292500.3330680						https://doi.org/10.1145/3292500.3330680	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0028""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0029	Identifying Impactful Service System Problems via Log Analysis	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3236024.3236083		10.1145/3236024.3236083						https://doi.org/10.1145/3236024.3236083	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0029""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0030	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3133956.3134015		10.1145/3133956.3134015						https://doi.org/10.1145/3133956.3134015	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0030""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0031	Murphy: Performance Diagnosis of Distributed Cloud Applications	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3603269.3604877		10.1145/3603269.3604877						https://doi.org/10.1145/3603269.3604877	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0031""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0032	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3611643.3616249		10.1145/3611643.3616249						https://doi.org/10.1145/3611643.3616249	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0032""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0036	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3542929.3563482		10.1145/3542929.3563482						https://doi.org/10.1145/3542929.3563482	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0036""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0041	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3387514.3405867		10.1145/3387514.3405867						https://doi.org/10.1145/3387514.3405867	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0041""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0042	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3324884.3416624		10.1145/3324884.3416624						https://doi.org/10.1145/3324884.3416624	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0042""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0043	Identifying linked incidents in large-scale online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409768		10.1145/3368089.3409768						https://doi.org/10.1145/3368089.3409768	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0043""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0044	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409741		10.1145/3368089.3409741						https://doi.org/10.1145/3368089.3409741	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0044""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0045	Real-time incident prediction for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409672		10.1145/3368089.3409672						https://doi.org/10.1145/3368089.3409672	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0045""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0046	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3417054		10.1145/3368089.3417054						https://doi.org/10.1145/3368089.3417054	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0046""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0047	Understanding and Handling Alert Storm for Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3377813.3381363		10.1145/3377813.3381363						https://doi.org/10.1145/3377813.3381363	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0047""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0048	What bugs cause production cloud incidents?	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3317550.3321438		10.1145/3317550.3321438						https://doi.org/10.1145/3317550.3321438	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0048""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
