incident_id	chunk_id	document_id	relevance_grade	evidence_role	applicability	adjudication_note
inc_08457c0fbff4700e	KBC-D057-4aa99ad9ca8a6ef110f7e03b	KBH-D057-f4bcce2e6d7e	0	context_only	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0	context_only	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0	context_only	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-45b99fa125935926d356e9b6	KBH-D057-f4bcce2e6d7e	0	context_only	compatible	adjudicated: A=0, B=1 -> 0
inc_08457c0fbff4700e	KBC-D057-e9a382e7d4fd09cb360debfc	KBH-D057-da53c9e679f7	2	root_cause_support	compatible	consensus
inc_08457c0fbff4700e	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	1	symptom_interpretation	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	1	service_dependency	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	0	service_dependency	compatible	adjudicated: A=0, B=1 -> 0
inc_08457c0fbff4700e	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	1	service_dependency	compatible	consensus
inc_08457c0fbff4700e	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	1	service_dependency	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	1	service_dependency	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	1	service_dependency	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0	context_only	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-90841863f220313bffa0377b	KBH-D057-1abc0a247aed	2	root_cause_support	compatible	consensus
inc_0991de462f9a6c05	KBC-D058-b868a54e37319ab0c268877e	KBH-D058-54c2092d43a5	0	context_only	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	1	service_dependency	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	1	service_dependency	compatible	consensus
inc_0991de462f9a6c05	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0	context_only	compatible	consensus
inc_0991de462f9a6c05	KBC-D058-af53af35781acf2a26a8f0ba	KBH-D058-4067ea9b384b	1	symptom_interpretation	compatible	consensus
inc_0991de462f9a6c05	KBC-D058-2a6b22a3c5e42c4df64e3f65	KBH-D058-4067ea9b384b	0	context_only	compatible	adjudicated: A=0, B=1 -> 0
inc_0f782051d78bc07a	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	1	symptom_interpretation	compatible	consensus
