path_glob	artifact_class	authority	owner_source	exact_revision	license_expression	evidence_snapshot	grant_scope	grant_exclusions	redistribution_status	sensitive_data_status	disposition	approval_scope	approver	decision_id	expiry	size_exception_mib	notes
01_papers/enriched/cache/**	acquisition-cache	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Regenerable HTTP cache.
01_papers/enriched/rescue-cache/**	acquisition-cache	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
01_papers/enriched/primary-text/**	paper-full-text	canonical	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	sensitive_internal	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Per-item paper copyright; no uniform redistribution grant.
01_papers/enriched/**/*.pdf	source-pdf	canonical	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	sensitive_internal	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
02_datasets/acquired/raw/**	raw-rca-eval	canonical	RCAEval	see-02_datasets/acquired/labels/acquisition-manifest.jsonl	MIT-author-data-with-embedded-baseline-exclusions	02_datasets/licenses_and_lineage.md	none	all-bytes	internal_only	sensitive_internal	archive_private	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Pinned upstream re-acquisition only; owner grant required before public bytes.
02_datasets/processed/labels/**	gold-labels	canonical	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	sensitive_internal	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Evaluator-only until release-stage approval.
06_implementation/data/private/**	private-sidecars	canonical	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	sensitive_internal	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
06_implementation/data/candidate-inference/**	inference-working-copy	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
06_implementation/data/candidate-pre-review/**	inference-working-copy	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
**/source-snapshots/**/LICENSE	license-snapshot	canonical	upstream-with-attribution	HEAD	Apache-2.0 OR CC-BY-4.0	03_collection_plan/knowledge-corpus/source-manifest.jsonl	license-text-only	snapshot-source-bytes	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-LICENSE-EVIDENCE			License text required for offline PR reconstruction checks; raw snapshot bytes stay private.
**/source-snapshots/**	source-snapshot	canonical	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	archive_private	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Re-acquire from recorded git revision; keep manifests and processed chunks.
06_implementation/reports/**/*.pdf	generated-pdf	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Build in release staging; do not track binaries.
06_implementation/reports/data-test-results.json	generated-local-receipt	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Machine-local pytest receipt; contains host paths.
06_implementation/reports/environment-check.json	generated-local-receipt	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Machine-local environment receipt; contains host paths.
06_implementation/reports/submission-package/**	release-copy	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
06_implementation/configs/final-manifest.json	generated-manifest	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Written only into release staging by package_release.
START-HERE.html	generated-index	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	generate	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Fail-closed: public URL or root MIT does not grant redistribution.
06_implementation/data/inference/**	inference-bundle	canonical	project-derived-from-RCAEval	HEAD	MIT	06_implementation/data/inference/input-manifest.json	de-identified-processed-inference-bundle	third-party-data-full-text-pdf-raw-vendor-weights	approved	redacted_approved	keep_public	public-git-tip	repository-policy	SIZE-2026-09-16-INFERENCE-BUNDLE	2027-09-16	8	Canonical inference bundle; candidate copies are not authority.
06_implementation/data/imputed/**	inference-working-copy	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-16-DEFAULT-DENY			Working imputation copy; canonical bundle is data/inference.
06_implementation/vendor/e5-small-v2/**	vendor-tokenizer	canonical	intfloat/e5-small-v2	configs/corpus.yaml	MIT	06_implementation/configs/corpus.yaml	tokenizer-config-vocab-only	model-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-VENDOR-E5			Root MIT covers project Software only.
